Product Name,Brand,SKU,MPN,Category,Description,Rated Voltage,Current Rating,IP Rating,Operating Temperature,Thread Size,Tensile Strength,Material,Coating,Length,Weight,Price,Currency,Availability,Warehouse Bin
ACS37800 Power Meter Module v25,SparkFun,SPX-025,ACS37800,Electrical,Qwiic power monitoring breakout with current/voltage sensing.,5V,4.4A,IP67,-40C,,,,,,173.6g,81.66,USD,in_stock,W7-10
1/4in Stainless Socket Cap Screw #26,McMaster-Carr,MCSC-026,MC-SCS14,Fasteners,"Socket head cap screw, 18-8 stainless steel.",,,,,3/8in,1000MPa,stainless steel,none,50mm,33.8g,6.16,USD,in_stock,F5-37
ACS37800 Power Meter Module v27,SparkFun,SPX-027,ACS37800,Electrical,Qwiic power monitoring breakout with current/voltage sensing.,48V,7.5A,IP20,70C,,,,,,16.1g,54.61,USD,backorder,W9-30
M8 Hex Bolt Zinc Plated #28,Bolt Depot,BDM8-028,BD-M8HEX,Fasteners,"Grade 8.8 hex head bolt, zinc plated finish.",,,,,M12,400MPa,steel,zinc plated,50mm,5.3g,10.79,USD,in_stock,F2-82
ACS37800 Power Meter Module v29,SparkFun,SPX-029,ACS37800,Electrical,Qwiic power monitoring breakout with current/voltage sensing.,48V,6.1A,IP20,85C,,,,,,133.2g,52.99,USD,in_stock,W5-36
M6 Nylon Insert Lock Nut #30,Bolt Depot,BDM6-030,BD-M6NYL,Fasteners,"Nylon insert locknut, prevents vibration loosening.",,,,,M8,600MPa,stainless steel,none,25mm,34.2g,3.85,USD,in_stock,F2-11
STEMMA QT Relay Module v31,Adafruit,ADA-031,ADA2471,Electrical,Solid state relay breakout for switching AC/DC loads.,48V,10.0A,IP20,-20C,,,,,,109.8g,47.95,USD,in_stock,W6-18
M8 Hex Bolt Zinc Plated #32,Bolt Depot,BDM8-032,BD-M8HEX,Fasteners,"Grade 8.8 hex head bolt, zinc plated finish.",,,,,M8,800MPa,steel,none,50mm,35.8g,7.7,USD,backorder,F9-11
Panel Mount Terminal Block v33,Phoenix Contact,PCX-033,PXC-TB,Electrical,DIN rail terminal block for industrial wiring.,48V,3.3A,IP20,-40C,,,,,,56.6g,80.58,USD,backorder,W9-29
1/4in Stainless Socket Cap Screw #34,McMaster-Carr,MCSC-034,MC-SCS14,Fasteners,"Socket head cap screw, 18-8 stainless steel.",,,,,3/8in,600MPa,carbon steel,none,25mm,35.0g,10.68,USD,backorder,F8-42
ACS37800 Power Meter Module v35,SparkFun,SPX-035,ACS37800,Electrical,Qwiic power monitoring breakout with current/voltage sensing.,3V,6.5A,IP65,-20C,,,,,,5.7g,70.5,USD,backorder,W5-30
M6 Nylon Insert Lock Nut #36,Bolt Depot,BDM6-036,BD-M6NYL,Fasteners,"Nylon insert locknut, prevents vibration loosening.",,,,,M10,1000MPa,carbon steel,zinc plated,20mm,5.6g,11.06,USD,in_stock,F9-14
STEMMA QT Relay Module v37,Adafruit,ADA-037,ADA2471,Electrical,Solid state relay breakout for switching AC/DC loads.,48V,5.7A,IP67,-40C,,,,,,13.2g,35.95,USD,in_stock,W6-36
M6 Nylon Insert Lock Nut #38,Bolt Depot,BDM6-038,BD-M6NYL,Fasteners,"Nylon insert locknut, prevents vibration loosening.",,,,,M6,400MPa,stainless steel,zinc,40mm,48.7g,9.41,USD,in_stock,F3-32
STEMMA QT Relay Module v39,Adafruit,ADA-039,ADA2471,Electrical,Solid state relay breakout for switching AC/DC loads.,3V,2.2A,IP65,85C,,,,,,161.4g,78.4,USD,in_stock,W5-30
M6 Nylon Insert Lock Nut #40,Bolt Depot,BDM6-040,BD-M6NYL,Fasteners,"Nylon insert locknut, prevents vibration loosening.",,,,,M4,1000MPa,steel,none,25mm,11.6g,11.49,USD,in_stock,F5-39
ACS37800 Power Meter Module v41,SparkFun,SPX-041,ACS37800,Electrical,Qwiic power monitoring breakout with current/voltage sensing.,3V,6.8A,IP67,70C,,,,,,59.3g,10.85,USD,in_stock,W6-92
M6 Nylon Insert Lock Nut #42,Bolt Depot,BDM6-042,BD-M6NYL,Fasteners,"Nylon insert locknut, prevents vibration loosening.",,,,,M10,800MPa,steel,zinc plated,30mm,10.6g,12.04,USD,in_stock,F1-23
Panel Mount Terminal Block v43,Phoenix Contact,PCX-043,PXC-TB,Electrical,DIN rail terminal block for industrial wiring.,24V,3.8A,IP65,85C,,,,,,123.2g,48.42,USD,in_stock,W4-42
M8 Hex Bolt Zinc Plated #44,Bolt Depot,BDM8-044,BD-M8HEX,Fasteners,"Grade 8.8 hex head bolt, zinc plated finish.",,,,,M10,400MPa,carbon steel,zinc,25mm,19.5g,1.01,USD,backorder,F6-89
STEMMA QT Relay Module v45,Adafruit,ADA-045,ADA2471,Electrical,Solid state relay breakout for switching AC/DC loads.,3V,7.3A,IP65,70C,,,,,,135.0g,32.68,USD,backorder,W5-80
M8 Hex Bolt Zinc Plated #46,Bolt Depot,BDM8-046,BD-M8HEX,Fasteners,"Grade 8.8 hex head bolt, zinc plated finish.",,,,,M6,1000MPa,carbon steel,none,25mm,31.5g,3.87,USD,backorder,F1-48
STEMMA QT Relay Module v47,Adafruit,ADA-047,ADA2471,Electrical,Solid state relay breakout for switching AC/DC loads.,5V,4.6A,IP65,85C,,,,,,91.1g,62.38,USD,backorder,W8-31
M6 Nylon Insert Lock Nut #48,Bolt Depot,BDM6-048,BD-M6NYL,Fasteners,"Nylon insert locknut, prevents vibration loosening.",,,,,M4,800MPa,carbon steel,zinc,50mm,18.1g,10.26,USD,in_stock,F5-38
ACS37800 Power Meter Module v49,SparkFun,SPX-049,ACS37800,Electrical,Qwiic power monitoring breakout with current/voltage sensing.,5V,0.7A,IP54,85C,,,,,,124.2g,70.27,USD,in_stock,W7-90
M6 Nylon Insert Lock Nut #50,Bolt Depot,BDM6-050,BD-M6NYL,Fasteners,"Nylon insert locknut, prevents vibration loosening.",,,,,M6,1000MPa,stainless steel,none,25mm,9.1g,8.64,USD,in_stock,F7-38
